id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,aquaculture,aquaculture hatchery|aquaculture hatchery manager|hatchery|hatchery manager|hatchery manager manager,general,"They control the reproduction and the early life cycle stages of cultured species.  They supervise incubation, early feeding and rearing techniques of the cultured species."
http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,gear,gear machinist|gear machinist mechanical|machinist|machinist mechanical|machinist mechanical gearing,technical,They use a variety of machine tools.
http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,rooms,rooms division|rooms division manager|division|division manager|division manager director,general,
http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,ceramic,ceramic painter|ceramic painter painter|painter|painter painter|painter painter of,general,They use a variety of techniques to produce decorative illustrations ranging from stenciling to free-hand drawing.
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,telecommunications,telecommunications engineer|telecommunications engineer broadcast|engineer|engineer broadcast|engineer broadcast engineer,technical,"They analyse customer needs and requirements, ensure that the equipment meets regulations, and prepare and present reports and proposals on telecommunication-related problems.  Telecommunications engineers design and oversee the service delivery in all it's phases, supervising the installation and use of telecommunications equipment and facilities, preparing documentation and providing training for company staff once new equipment has been installed."
http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,adult,adult literacy|adult literacy teacher|literacy|literacy teacher|literacy teacher instructor,general,"Adult literacy teachers involve the students in the planning and executing of their reading activities, and assess and evaluate them individually through assignments and examinations."
http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,footwear,footwear quality|footwear quality manager|quality|quality manager|quality manager footwear,technical,"They are in charge of establishing requirements and objectives, as well as preparing documents.  They analyse complaints, and promote and coordinate corrective and preventive measures.  They promote an effective internal and external communication and ensure the consumer's demands are met.  They are responsible for the definition of instruments which monitor and control the quality systems, namely internal or external auditing, and they participate in the internal auditing."
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,sprinkler,sprinkler fitter|sprinkler fitter fire|fitter|fitter fire|fitter fire sprinkler,technical,"They connect pipes, tubing and the necessary accessories.  Sprinkler system installers also test the systems for leaks."
http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,electronic,electronic and|electronic and telecommunications|and|and telecommunications|and telecommunications equipment,general,
http://data.europa.eu/esco/occupation/034cad59-e666-4770-a7ef-a337257f8072,special,special educational|special educational needs|educational|educational needs|educational needs teacher,general,"Some special educational needs teachers at secondary schools work with children who have mild to moderate disabilities, implementing a modified curriculum to fit each student's specific needs.  Other special educational needs teachers at secondary schools assist and instruct students with intellectual disabilities and autism, focusing on teaching them basic and advanced literacy, life and social skills.  All teachers assess the students' progress, taking into account their strengths and weaknesses, and communicate their findings to parents, counselors, administrators and other parties involved."
